# Centrality, <Npart>, <dNch/deta>, <dNch/deta>/(<Npart>/2)
0.500 404.266 1993.122 9.860
1.500 396.102 1882.137 9.503
2.500 385.943 1803.619 9.347
3.500 375.648 1731.341 9.218
4.500 365.191 1662.970 9.107
5.500 354.440 1597.974 9.017
6.500 343.968 1536.242 8.932
7.500 333.835 1478.254 8.856
8.500 323.822 1422.000 8.783
9.500 313.955 1367.618 8.712
10.500 304.272 1316.830 8.656
11.500 294.812 1267.357 8.598
12.500 285.666 1220.170 8.543
13.500 276.756 1175.264 8.493
14.500 268.017 1132.075 8.448
15.500 259.449 1089.786 8.401
16.500 251.183 1049.143 8.354
17.500 243.243 1009.326 8.299
18.500 235.556 971.839 8.251
19.500 228.012 935.534 8.206
20.500 220.434 900.687 8.172
21.500 213.222 866.553 8.128
22.500 206.178 833.348 8.084
23.500 199.313 801.470 8.042
24.500 192.466 769.963 8.001
25.500 185.887 739.831 7.960
26.500 179.442 710.782 7.922
27.500 173.261 682.512 7.878
28.500 167.307 654.682 7.826
29.500 161.369 628.133 7.785
30.500 155.520 602.053 7.742
31.500 149.810 577.347 7.708
32.500 144.462 553.398 7.662
33.500 139.045 530.121 7.625
34.500 133.881 507.604 7.583
35.500 128.731 485.646 7.545
36.500 123.838 464.484 7.501
37.500 119.113 444.054 7.456
38.500 114.370 424.611 7.425
39.500 109.680 405.547 7.395
40.500 105.370 387.313 7.351
41.500 101.043 369.491 7.314
42.500 96.887 352.231 7.271
43.500 92.795 335.458 7.230
44.500 88.839 319.246 7.187
45.500 85.046 303.467 7.137
46.500 81.280 288.212 7.092
47.500 77.637 273.514 7.046
48.500 74.139 259.355 6.996
49.500 70.675 245.679 6.952
50.500 67.335 232.621 6.909
51.500 64.108 220.171 6.869
52.500 61.048 207.987 6.814
53.500 58.051 196.268 6.762
54.500 55.124 185.009 6.712
55.500 52.308 173.998 6.653
56.500 49.620 163.416 6.587
57.500 46.993 153.385 6.528
58.500 44.436 143.807 6.473
59.500 42.091 134.531 6.392
60.500 39.793 125.748 6.320
61.500 37.511 117.306 6.254
62.500 35.373 109.184 6.173
63.500 33.303 101.433 6.091
64.500 31.300 94.070 6.011
65.500 29.431 87.107 5.919
66.500 27.623 80.549 5.832
67.500 25.817 74.288 5.755
68.500 24.231 68.246 5.633
69.500 22.610 62.523 5.530
70.500 21.034 57.154 5.435
71.500 19.626 52.125 5.312
72.500 18.248 47.406 5.196
73.500 16.982 42.996 5.064
74.500 15.733 38.889 4.944
75.500 14.547 34.988 4.810
76.500 13.487 31.404 4.657
77.500 12.479 28.047 4.495
78.500 11.523 24.992 4.338
79.500 10.622 22.107 4.163
