# Centrality, <Npart>, <dNch/deta>, <dNch/deta>/(<Npart>/2)
0.500 248.658 1298.518 10.444
1.500 244.258 1219.671 9.987
2.500 238.609 1168.555 9.795
3.500 232.827 1123.305 9.649
4.500 226.893 1080.421 9.524
5.500 220.767 1039.861 9.420
6.500 214.744 1000.591 9.319
7.500 208.732 962.823 9.225
8.500 202.678 926.573 9.143
9.500 196.788 891.960 9.065
10.500 191.056 858.657 8.989
11.500 185.348 826.610 8.920
12.500 179.735 795.737 8.855
13.500 174.206 765.918 8.793
14.500 168.786 736.999 8.733
15.500 163.451 709.431 8.681
16.500 158.439 682.960 8.621
17.500 153.422 657.103 8.566
18.500 148.500 632.335 8.516
19.500 143.650 608.239 8.468
20.500 139.062 584.998 8.414
21.500 134.399 562.627 8.373
22.500 129.906 541.043 8.330
23.500 125.499 519.887 8.285
24.500 121.304 499.317 8.232
25.500 117.250 479.578 8.180
26.500 113.155 460.439 8.138
27.500 109.105 441.704 8.097
28.500 105.304 423.603 8.045
29.500 101.425 406.283 8.012
30.500 97.832 389.434 7.961
31.500 94.298 373.058 7.912
32.500 90.693 357.127 7.876
33.500 87.384 341.788 7.823
34.500 84.138 327.001 7.773
35.500 80.897 312.709 7.731
36.500 77.662 299.054 7.701
37.500 74.705 285.820 7.652
38.500 71.816 272.954 7.601
39.500 68.889 260.478 7.562
40.500 66.066 248.421 7.520
41.500 63.361 236.775 7.474
42.500 60.669 225.611 7.437
43.500 58.126 214.733 7.389
44.500 55.615 204.171 7.342
45.500 53.344 193.996 7.273
46.500 50.969 184.208 7.228
47.500 48.763 174.782 7.169
48.500 46.531 165.739 7.124
49.500 44.326 156.845 7.077
50.500 42.298 148.243 7.009
51.500 40.345 140.089 6.945
52.500 38.433 132.203 6.880
53.500 36.578 124.681 6.817
54.500 34.794 117.507 6.755
55.500 33.086 110.642 6.688
56.500 31.419 104.021 6.621
57.500 29.849 97.636 6.542
58.500 28.316 91.537 6.465
59.500 26.782 85.725 6.402
60.500 25.354 80.090 6.318
61.500 24.030 74.763 6.222
62.500 22.676 69.677 6.145
63.500 21.450 64.826 6.044
64.500 20.184 60.169 5.962
65.500 18.996 55.765 5.871
66.500 17.913 51.598 5.761
67.500 16.849 47.661 5.657
68.500 15.808 43.885 5.552
69.500 14.829 40.349 5.442
70.500 13.937 36.990 5.308
71.500 12.981 33.819 5.210
72.500 12.160 30.858 5.075
73.500 11.384 28.086 4.934
74.500 10.742 25.503 4.748
75.500 9.964 23.080 4.633
76.500 9.190 20.793 4.525
77.500 8.778 18.675 4.255
78.500 7.992 16.711 4.182
79.500 7.471 14.864 3.979
